num_contrato,Id,Numero,Tipo,Nombre,PorcentajeEstimado,Editable,,,,,
SIDUR-ED-16-102.90,1654,2,1,CERCO PERIMETRAL,NULL,0,,,,,
SIDUR-ED-16-102.90,1656,2,2,CERCO PERIMETRAL,2,0,,,,,
SIDUR-ED-16-026.75,1657,1,1,TRABAJOS DIVERSOS,NULL,0,,,,,
SIDUR-ED-16-042.127,1664,1,1,PAVIMENTO,NULL,0,,,,,
SIDUR-ED-16-042.127,1665,2,1,VADOS,NULL,0,,,,,
SIDUR-ED-16-042.127,1666,3,1,SEÑALAMIENTO,NULL,0,,,,,
SIDUR-ED-16-042.127,1667,1,2,PAVIMENTO,93,0,,,,,
SIDUR-ED-16-042.127,1669,2,2,VADOS,2,0,,,,,
SIDUR-ED-16-042.127,1670,3,2,SEÑALAMIENTO,5,0,,,,,
SIDUR-ED-16-041.140,1681,1,1,PAVIMENTO,NULL,0,,,,,
SIDUR-ED-16-041.140,1682,2,1,SEÑALAMIENTO VERTICAL,NULL,0,,,,,
SIDUR-ED-16-041.140,1683,3,1,SEÑALAMIENTO HORIZONTAL,NULL,0,,,,,
SIDUR-ED-16-041.140,1684,1,2,PAVIMENTO,87,0,,,,,
SIDUR-ED-16-041.140,1685,2,2,SEÑALAMIENTO VERTICAL,3,0,,,,,
SIDUR-ED-16-041.140,1686,3,2,SEÑALAMIENTO HORIZONTAL,10,0,,,,,
SIDUR-ED-16-047.138,1687,1,1,TERRACERIAS,NULL,0,,,,,
SIDUR-ED-16-047.138,1688,1,2,BONIFICACION POR REFINAMIENTO,2,0,,,,,
SIDUR-ED-16-047.138,1689,2,1,OBRAS DE DRENAJE,NULL,0,,,,,
SIDUR-ED-16-047.138,1690,2,2,EXCAVACION EN MATERIAL B,1,0,,,,,
SIDUR-ED-16-047.138,1691,2,2,CONCRETO FC 150 KG/CM2 ,6,0,,,,,
SIDUR-ED-16-047.138,1692,2,2,CONCRETO FC 300 KG/CM2,8,0,,,,,
SIDUR-ED-16-047.138,1693,2,2,CIMBRA,4,0,,,,,
SIDUR-ED-16-047.138,1694,2,2,ACERO DE REFUERZO PARA CONCRETO,2,0,,,,,
SIDUR-ED-16-047.138,1695,3,1,PAVIMENTOS,NULL,0,,,,,
SIDUR-ED-16-047.138,1696,3,2,SUMINISTRO DE MATERIAL PARA TERRAPLEN TIPO B,6,0,,,,,
SIDUR-ED-16-047.138,1697,3,2,SUMINISTRO DE MATERIAL PARA TERRAPLEN TIPO C,5,0,,,,,
SIDUR-ED-16-047.138,1698,3,2,FORMACION Y COMPACTACION DE TERRAPLEN,8,0,,,,,
SIDUR-ED-16-047.138,1699,4,1,ACARREOS,NULL,0,,,,,
SIDUR-ED-16-047.138,1700,4,2,ACARREOS DE MATERIAL PRIMER KM,2,0,,,,,
SIDUR-ED-16-047.138,1701,4,2,ACARREOS DE MATERIAL DE 1 A 20 KM,25,0,,,,,
SIDUR-ED-16-047.138,1702,4,2,ACARREOS DE MATERIAL DE 20KM  SUBSECUENTES,31,0,,,,,
SIDUR-ED-16-066.151,1703,1,1,SUPERVISION EXTERNA,NULL,0,,,,,
SIDUR-ED-16-066.151,1704,1,2,supervision externa,34,0,,,,,
SIDUR-ED-16-026.75,1705,2,1,BACHEO SUPERFICIAL,NULL,0,,,,,
SIDUR-ED-16-026.75,1706,3,1,SELLADO DE GRIETAS (ADITIVO SELLADOR),NULL,0,,,,,
SIDUR-ED-16-026.75,1707,4,1,BACHEO PROFUNDO AISLADO,NULL,0,,,,,
SIDUR-ED-16-026.75,1708,5,1,RECUPERADO EN FRIO DE PAVIMENTO EXISTENTE (CARPETA Y BASE,NULL,0,,,,,
SIDUR-ED-16-026.75,1709,6,1,RECARGUE DE BASE HIDRAULICA,NULL,0,,,,,
SIDUR-ED-16-026.75,1710,7,1,BASE HIDRAULICA,NULL,0,,,,,
SIDUR-ED-16-026.75,1712,9,1,RIEGO DE LIGA,NULL,0,,,,,
SIDUR-ED-16-026.75,1713,10,1,CEMENTO ASFÁLTICO EKBE 64-22,NULL,0,,,,,
SIDUR-ED-16-026.75,1714,11,1,CARPETA ASFÁLTICA EKBE 64-22,NULL,0,,,,,
SIDUR-ED-16-026.75,1715,12,1,CAPA DE RODADURA (RIEGO DE SELLO),NULL,0,,,,,
SIDUR-ED-16-026.75,1716,13,1,RIEGO DE LIGA (PARA CARPETA ASFÁLTICA),NULL,0,,,,,
SIDUR-ED-16-026.75,1717,1,2,"DESHIERBE, CONSTRUCCIÓN DE LAVADEROS Y REPOSICIÓN DE GUARNICIONES",1,0,,,,,
SIDUR-ED-16-026.75,1718,2,2,BACHEO SUPERFICIAL,3,0,,,,,
SIDUR-ED-16-026.75,1719,3,2,SELLADO DE GRIETAS (ADITIVO SELLADOR),8,0,,,,,
SIDUR-ED-16-026.75,1720,4,2,BACHEO PROFUNDO AISLADO,3,0,,,,,
SIDUR-ED-16-026.75,1721,5,2,RECUPERADO EN FRIÓ DE PAVIMENTO EXISTENTE (CARPETA Y BASE),5,0,,,,,
SIDUR-ED-16-026.75,1722,6,2,RECARGUE DE BASE HIDRAULICA,3,0,,,,,
SIDUR-ED-16-026.75,1723,7,2,BASE HIDRAULICA,7,0,,,,,
SIDUR-ED-16-026.75,1725,9,2,RIEGO DE LIGA (PARA RIEGO DE SELLO),15,0,,,,,
SIDUR-ED-16-026.75,1726,10,2,CEMENTO ASFÁLTICO EKBE 64-22,16,0,,,,,
SIDUR-ED-16-026.75,1727,11,2,CARPETA ASFÁLTICA EKBE 64-22,16,0,,,,,
SIDUR-ED-16-026.75,1728,12,2,CAPA DE RODADURA (RIEGO DE SELLO),8,0,,,,,
SIDUR-ED-16-026.75,1729,13,2, RIEGO DE LIGA (PARA CARPETA ASFÁLTICA),2,0,,,,,
SIDUR-ED-16-026.75,1730,14,1,RIEGO DE IMPREGNACION,NULL,0,,,,,
SIDUR-ED-16-026.75,1732,14,2,RIEGO DE IMPREGNACION,5,0,,,,,
SIDUR-ED-16-026.75,1733,15,1,SEÑALAMIENTO Y DISPOSITIVOS DE PROTECCION,NULL,0,,,,,
SIDUR-ED-16-026.75,1734,15,2,SEÑALAMIENTO HORIZONTAL Y VERTICAL,8,0,,,,,
SIDUR-ED-16-013.52,1735,1,1,PRELIMINARES,NULL,0,,,,,
SIDUR-ED-16-013.52,1736,1,2,PRELIMINARES,1,0,,,,,
SIDUR-ED-16-013.52,1737,2,1,ALCANTARILLADO,NULL,0,,,,,
SIDUR-ED-16-013.52,1738,2,2,ALCANTARILLADO,2,0,,,,,
SIDUR-ED-16-013.52,1739,3,1,AGUA POTABLE,NULL,0,,,,,
SIDUR-ED-16-013.52,1740,3,2,AGUA POTABLE,3,0,,,,,
SIDUR-ED-16-013.52,1741,4,1,TERRACERIAS,NULL,0,,,,,
SIDUR-ED-16-013.52,1742,4,2,TERRACERIAS,10,0,,,,,
SIDUR-ED-16-013.52,1743,5,1,OBRAS DE DRENAJE,NULL,0,,,,,
SIDUR-ED-16-013.52,1744,5,2,OBRAS DE DRENAJE,4,0,,,,,
SIDUR-ED-16-013.52,1745,6,1,ACARREOS,NULL,0,,,,,
SIDUR-ED-16-013.52,1746,6,2,ACARREOS,8,0,,,,,
SIDUR-ED-16-013.52,1747,7,1,"GUARNICIONES, DENTELLONES Y BANQUETAS",NULL,0,,,,,
SIDUR-ED-16-013.52,1748,7,2,"GUARNICIONES, DENTELLONES Y BANQUETAS",7,0,,,,,
SIDUR-ED-16-013.52,1749,8,1,PAVIMENTOS,NULL,0,,,,,
SIDUR-ED-16-013.52,1750,8,2,PAVIMENTOS,55,0,,,,,
SIDUR-ED-16-013.52,1751,9,1,SEÑALAMIENTO,NULL,0,,,,,
SIDUR-ED-16-013.52,1752,9,2,SEÑALAMIENTO,2,0,,,,,
SIDUR-ED-16-013.52,1753,10,1,ALUMBRADO PUBLICO,NULL,0,,,,,
SIDUR-ED-16-013.52,1754,10,2,ALUMBRADO PUBLICO,7,0,,,,,
SIDUR-ED-16-013.52,1755,11,1,OTROS TRABAJOS ,NULL,0,,,,,
SIDUR-ED-16-013.52,1756,11,2,"REFORESTACION, PARADA DE AUTOBUSES Y OTROS",1,0,,,,,
SIDUR-ED-16-107.106,1757,1,1,SUPERVISION,NULL,0,,,,,
SIDUR-ED-16-107.106,1758,1,2,Coordinador General (Superintendente),12,0,,,,,
SIDUR-ED-16-107.106,1759,1,2,Ingeniero Civil (Supervisor de Obra),11,0,,,,,
SIDUR-ED-16-107.106,1760,1,2,"Ingeniero Civil (Terracerias, Pavimentos)",11,0,,,,,
SIDUR-ED-16-107.106,1761,1,2,Ingeniero Civil (Estimaciones),8,0,,,,,
SIDUR-ED-16-107.106,1762,1,2,Ingeniero Civil (Auxiliar de Supervision),8,0,,,,,
SIDUR-ED-16-107.106,1763,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-107.106,1764,2,2,Laboratorista,6,0,,,,,
SIDUR-ED-16-107.106,1765,2,2,Ayudante General,4,0,,,,,
SIDUR-ED-16-107.106,1766,2,2,Chofer de Camioneta,4,0,,,,,
SIDUR-ED-16-107.106,1767,2,2,Equipo de Laboratorio,4,0,,,,,
SIDUR-ED-16-107.106,1768,2,2,Vehiculo tipo Pick Up,8,0,,,,,
SIDUR-ED-16-107.106,1769,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-107.106,1770,3,2,Ingeniero Civil y/o Topografo,7,0,,,,,
SIDUR-ED-16-107.106,1771,3,2,Ayudante General,4,0,,,,,
SIDUR-ED-16-107.106,1772,3,2,Equipo de Topografia,1,0,,,,,
SIDUR-ED-16-107.106,1773,3,2,Chofer de Camioneta,4,0,,,,,
SIDUR-ED-16-107.106,1774,3,2,Vehiculo tipo Pick up,8,0,,,,,
SIDUR-ED-16-061.69,1775,1,1,SUPERVISION,NULL,0,,,,,
SIDUR-ED-16-061.69,1776,1,2,Coordinador General (Superintendente),11,0,,,,,
SIDUR-ED-16-061.69,1777,1,2,Ingeniero Civil (Supervisor de Obra),10,0,,,,,
SIDUR-ED-16-061.69,1778,1,2,"Ingeniero Civil (Terracerias, Pavimentos)",10,0,,,,,
SIDUR-ED-16-061.69,1779,1,2,Ingeniero Civil (Estimaciones),7,0,,,,,
SIDUR-ED-16-061.69,1780,1,2,Ingeniero Civil (Auxiliar de Supervision),7,0,,,,,
SIDUR-ED-16-061.69,1781,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-061.69,1782,2,2,Laboratorista,8,0,,,,,
SIDUR-ED-16-061.69,1783,2,2,Ayudante General,5,0,,,,,
SIDUR-ED-16-061.69,1784,2,2,Chofer de camioneta,4,0,,,,,
SIDUR-ED-16-061.69,1785,2,2,Equipo de Laboratorio,5,0,,,,,
SIDUR-ED-16-061.69,1786,2,2,Vehiculo tipo Pick Up,7,0,,,,,
SIDUR-ED-16-061.69,1787,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-061.69,1788,3,2,Ingeniero Civil y/o Topografo,9,0,,,,,
SIDUR-ED-16-061.69,1789,3,2,Ayudante General,5,0,,,,,
SIDUR-ED-16-061.69,1790,3,2,Equipo de Topografia,4,0,,,,,
SIDUR-ED-16-061.69,1791,3,2,Chofer de camioneta,1,0,,,,,
SIDUR-ED-16-061.69,1792,3,2,Vehiculo tipo Pick Up,7,0,,,,,
SIDUR-ED-16-132.118,1793,1,1,SUPERVISION DE OBRA,NULL,0,,,,,
SIDUR-ED-16-132.118,1794,1,2,Servicios de Supervision,42,0,,,,,
SIDUR-ED-16-132.118,1795,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-132.118,1796,2,2,Servicios de control de Calidad,34,0,,,,,
SIDUR-ED-16-132.118,1797,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-132.118,1798,3,2,Servicios de Topografia,24,0,,,,,
SIDUR-ED-16-126.115,1799,1,1,SUPERVISION DE OBRA,NULL,0,,,,,
SIDUR-ED-16-126.115,1800,1,2,Servisios de Supervision,39,0,,,,,
SIDUR-ED-16-126.115,1801,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-126.115,1802,2,2,Servisios de Control de Calidad,35,0,,,,,
SIDUR-ED-16-126.115,1803,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-126.115,1804,3,2,Servicios de Topografia,26,0,,,,,
SIDUR-ED-16-127.117,1805,1,1,SUPERVISION DE OBRA,NULL,0,,,,,
SIDUR-ED-16-127.117,1806,1,2,Servicios de Supervision de Obra,42,0,,,,,
SIDUR-ED-16-127.117,1807,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-127.117,1808,2,2,Servisios de control de calidad,29,0,,,,,
SIDUR-ED-16-127.117,1809,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-127.117,1810,3,2,Servicios de Topografia,29,0,,,,,
SIDUR-ED-16-115.155,1811,1,1,SUPERVISION DE OBRA,NULL,0,,,,,
SIDUR-ED-16-115.155,1812,1,2,Servicios de Supervicion de Obra,45,0,,,,,
SIDUR-ED-16-115.155,1813,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-115.155,1814,2,2,Servicios de control de calidad,25,0,,,,,
SIDUR-ED-16-115.155,1815,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-115.155,1816,3,2,Servisios de topografia,30,0,,,,,
SIDUR-ED-16-025.73,1817,1,1,VIALIDAD YAQUI-MAYO KM. 80 020 AL 81 120 (1.100 KM.),NULL,0,,,,,
SIDUR-ED-16-025.73,1818,2,1,CORTES,NULL,0,,,,,
SIDUR-ED-16-025.73,1819,3,1,TERRAPLENES,NULL,0,,,,,
SIDUR-ED-16-025.73,1820,4,1,BASE,NULL,0,,,,,
SIDUR-ED-16-025.73,1821,5,1,SUB-BASE,NULL,0,,,,,
SIDUR-ED-16-025.73,1822,6,1,RIEGO DE IMPREGNACION,NULL,0,,,,,
SIDUR-ED-16-025.73,1823,7,1,RIEGO DE LIGA (PARA CARPETA ASFÁLTICA),NULL,0,,,,,
SIDUR-ED-16-025.73,1824,8,1,CARPETA ASFALTICA,NULL,0,,,,,
SIDUR-ED-16-025.73,1825,9,1,OBRA DE DRENAJE SOBRE CANAL DE RIEGO EN ACCESO AL CARO,NULL,0,,,,,
SIDUR-ED-16-025.73,1826,10,1,CORTES,NULL,0,,,,,
SIDUR-ED-16-025.73,1827,11,1,TERRAPLENES,NULL,0,,,,,
SIDUR-ED-16-025.73,1831,15,1,CONSTRUCCION DE VADO,NULL,0,,,,,
SIDUR-ED-16-025.73,1832,16,1,TERRACERIAS (VADO),NULL,0,,,,,
SIDUR-ED-16-025.73,1833,17,1,SENALAMIENTO (VERTICAL Y HORIZONTAL),NULL,0,,,,,
SIDUR-ED-16-025.73,1834,2,2,CORTES,1,0,,,,,
SIDUR-ED-16-025.73,1835,3,2,TERRAPLENES,30,0,,,,,
SIDUR-ED-16-025.73,1836,4,2,BASE,7,0,,,,,
SIDUR-ED-16-025.73,1837,5,2,SUB-BASE,6,0,,,,,
SIDUR-ED-16-025.73,1838,7,2,RIEGO DE LIGA,1,0,,,,,
SIDUR-ED-16-025.73,1839,6,2,RIEGO DE IMPREGNACION,2,0,,,,,
SIDUR-ED-16-025.73,1840,8,2,CARPETA ASALTICA,26,0,,,,,
SIDUR-ED-16-025.73,1841,9,2,OBRAS DE DRENAJE SOBRE CANAL A ACCESO AL CARO,3,0,,,,,
SIDUR-ED-16-025.73,1842,10,2,CORTES,1,0,,,,,
SIDUR-ED-16-025.73,1843,11,2,TERRAPLENAS,3,0,,,,,
SIDUR-ED-16-025.73,1844,17,2,SEÑALAMIENTO,1,0,,,,,
SIDUR-ED-16-025.73,1845,16,2,TERRACERIAS VADO,4,0,,,,,
SIDUR-ED-16-025.73,1846,15,2,CONTRUCCION DE VADO,15,0,,,,,
SIDUR-ED-16-112.110,1847,1,1,SUPERVISION DE OBRA ,NULL,0,,,,,
SIDUR-ED-16-112.110,1848,1,2,SUPERVISION DE OBRA ,45,0,,,,,
SIDUR-ED-16-112.110,1849,2,1,CONTROL DE CALIDAD ,NULL,0,,,,,
SIDUR-ED-16-112.110,1850,2,2,CONTROL DE CALIDAD,28,0,,,,,
SIDUR-ED-16-112.110,1851,3,1,TOPOGRAFIA ,NULL,0,,,,,
SIDUR-ED-16-112.110,1852,3,2,TOPOGRAFIA ,27,0,,,,,
SIDUR-ED-16-063.148,1853,1,1,SUPERVISION EXTERNA,NULL,0,,,,,
SIDUR-ED-16-063.148,1854,1,2,"CONTROL DE EXPEDIENTE TECNICO,ADMINISTRATIVO, SUPERVISION Y CONTROL DE LOS TRABAJOS EN CAMPO Y VERIFICACION TOOGRAFICA",100,0,,,,,
SIDUR-ED-16-064.149,1855,1,1,SUPERVISION EXTERNA,NULL,0,,,,,
SIDUR-ED-16-064.149,1856,1,2,BRIGADA DE SUPERVISION EXTERNA,100,0,,,,,
SIDUR-ED-16-109.108,1857,1,1,VERIFICACION DE CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-109.108,1858,1,2,VERIFICACION DE CONTROL DE CALIDAD,100,0,,,,,
SIDUR-ED-16-106.102,1864,1,1,SUPERVISION DE OBRA,NULL,0,,,,,
SIDUR-ED-16-106.102,1865,1,2,SUPERVISION DE OBRA,52,0,,,,,
SIDUR-ED-16-106.102,1866,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-106.102,1867,2,2,CONTROL DE CALIDAD,27,0,,,,,
SIDUR-ED-16-106.102,1868,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-106.102,1869,3,2,TOPOGRAFIA,21,0,,,,,
SIDUR-ED-16-072.153,1870,1,1,"SUPERVISION EXTERNA, CONTROL DE CALIDAD Y TOPOGRAFIA",NULL,0,,,,,
SIDUR-ED-16-072.153,1874,1,2,"SUPERVISION EXTERNA, CONTROL DE CALIDAD Y TOPOGRAFIA",100,0,,,,,
SIDUR-ED-16-103.104,1875,1,1,SUPERVISION EXTERNA Y CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-103.104,1876,1,2,"SUPERVISION, CONTROL DE CALIDAD Y TOPOGRAFIA",100,0,,,,,
SIDUR-ED-16-158.213,1879,2,1,verificacion  de la NOM-001-SEDE-2012  Y  NOM ENER-001-2014,NULL,1,,,,,
SIDUR-ED-16-158.213,1880,1,1,verificacion  de la NOM-001-SEDE-2012  Y  NOM ENER-001-2014,NULL,0,,,,,
SIDUR-ED-16-158.213,1881,1,2,verificacion  de la NOM-001-SEDE-2012  Y  NOM ENER-001-2014,44,0,,,,,
SIDUR-ED-16-158.213,1882,2,1,VISITAS A INTALACIONES,NULL,0,,,,,
SIDUR-ED-16-158.213,1883,2,2,VISITAS,32,0,,,,,
SIDUR-ED-16-158.213,1884,3,1,MEDICIONES ,NULL,0,,,,,
SIDUR-ED-16-158.213,1885,3,2,MEDICIONES  DEL SISTEMA DE TIERRA,24,0,,,,,
SIDUR-ED-16-159.221,1886,1,1,verificacion  de la NOM-001-SEDE-2012  Y  NOM ENER-001-2014,NULL,0,,,,,
SIDUR-ED-16-159.221,1887,2,1,VISITAS A LA INSTALACION,NULL,0,,,,,
SIDUR-ED-16-159.221,1888,3,1,MEDICIONES A LA INSTALACIONES,NULL,0,,,,,
SIDUR-ED-16-159.221,1889,1,2,verificacion de la NOM-001-SEDE-2012 Y NOM ENER-001-2014,49,,,,,,
SIDUR-ED-16-159.221,1890,2,2,VISITAS A LA INSTALACION,25,0,,,,,
SIDUR-ED-16-159.221,1891,3,2,MEDICIONES A LA INSTALACIONES,26,0,,,,,
SIDUR-ED-16-105.101,1892,1,1,SUPERVISION,NULL,0,,,,,
SIDUR-ED-16-105.101,1893,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-105.101,1894,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-105.101,1897,1,2,SUPERVICION,46,0,,,,,
SIDUR-ED-16-105.101,1898,2,2,CONTROL DE CALIDAD,26,0,,,,,
SIDUR-ED-16-105.101,1899,3,2,TOPOGRAFIA,28,0,,,,,
SIDUR-ED-16-114.113,1900,1,1,SUPERVISION,NULL,0,,,,,
SIDUR-ED-16-114.113,1901,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-114.113,1902,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-114.113,1903,1,2,SUPERVISION,46,0,,,,,
SIDUR-ED-16-114.113,1904,2,2,CONTROL DE CALIDAD,28,0,,,,,
SIDUR-ED-16-114.113,1905,3,2,TOPOGRAFIA,26,0,,,,,
SIDUR-ED-16-057.97,1906,1,1,SUPERVISION EXTERNA,NULL,0,,,,,
SIDUR-ED-16-057.97,1907,1,2,Supervisión externa,54,0,,,,,
SIDUR-ED-16-057.97,1908,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-057.97,1909,2,2,Control de calñidad,25,0,,,,,
SIDUR-ED-16-057.97,1910,3,1,BRIGADA TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-057.97,1911,3,2,Brigada de topografia,21,0,,,,,
SIDUR-ED-16-151.209,1912,1,1,HONORARIOS POR VERIFICAR LA NOM-001-SEDE-2012,NULL,0,,,,,
SIDUR-ED-16-151.209,1913,1,2,HONORARIOS POR VERIFICACION,40,0,,,,,
SIDUR-ED-16-151.209,1914,2,1,VISITA A LA INSTALACION,NULL,0,,,,,
SIDUR-ED-16-151.209,1915,2,2,VISITA A LAS INSTALACION,38,0,,,,,
SIDUR-ED-16-151.209,1916,3,1,MEDICIONES A LA INSTALACION,NULL,0,,,,,
SIDUR-ED-16-151.209,1917,3,2,"RESISTENCIA A TIERRA, AISLAMIENTO, CONTINUIDAD Y POLARIDAD",22,0,,,,,
SIDUR-ED-16-152.218,1918,1,1,HONORARIOS POR VERIFICAR LA NOM-001-SEDE-2012,NULL,0,,,,,
SIDUR-ED-16-152.218,1919,1,2,HONORARIOS POR VERIFICACION,32,0,,NULL,0,,
SIDUR-ED-16-152.218,1920,2,1,VISITA A LA INSTALACION,NULL,0,,4,0,,
SIDUR-ED-16-152.218,1921,2,2,VISITA A LAS INSTALACIONES,50,0,,,,,
SIDUR-ED-16-152.218,1922,3,1,MEDICIONES A LA INSTALACION,NULL,0,,,,,
SIDUR-ED-16-152.218,1923,3,2,"RESISTENCIA A TIERRA, AISLAMIENTO, CONTINUIDAD Y POLARIDAD",18,0,,1,0,,
SIDUR-ED-16-133.87,1924,1,1,SUPERVICION ,NULL,0,,,,,
SIDUR-ED-16-133.87,1925,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-133.87,1926,3,1,TOPOGRAFIA,NULL,0,,3,0,,
SIDUR-ED-16-133.87,1927,1,2,SUPERVICION,37,0,,,,,
SIDUR-ED-16-133.87,1928,2,2,CONTRO DE CALIDAD,28,0,,4,0,,
SIDUR-ED-16-133.87,1929,3,2,TOPOGRAFIA,35,0,,,,,
SIDUR-ED-16-146.89,1930,1,1,SUPERVICION,NULL,0,,,,,
SIDUR-ED-16-146.89,1931,2,1,CONTRO DE CALIDAD,NULL,0,,2,0,,
SIDUR-ED-16-146.89,1932,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-146.89,1933,1,2,SUPERVICION,34,0,,,,,
SIDUR-ED-16-146.89,1934,2,2,CONTRO DE CALIDAD,33,0,,3,0,,
SIDUR-ED-16-146.89,1935,3,2,TOPOGRAFIA,33,0,,,,,
SIDUR-ED-16-184.201,1936,1,1,SUPERVICION,NULL,0,,,,,
SIDUR-ED-16-184.201,1937,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-184.201,1938,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-184.201,1939,1,2,SUPERVICION,45,0,,,,,
SIDUR-ED-16-184.201,1940,2,2,CONTROL DE CALIDAD,30,0,,,,,
SIDUR-ED-16-184.201,1941,3,2,TOPOGRAFIA,25,0,,,,,
SIDUR-ED-16-185.202,1942,1,1,SUPERVICION,NULL,0,,,,,
SIDUR-ED-16-185.202,1943,2,1,CONTROL DE CALIDAD,NULL,0,,,,,
SIDUR-ED-16-185.202,1944,3,1,TOPOGRAFIA,NULL,0,,,,,
SIDUR-ED-16-185.202,1945,1,2,SUPERVICION,41,0,,,,,
SIDUR-ED-16-185.202,1946,2,2,CONTROL DE CALIDAD,31,0,,,,,
SIDUR-ED-16-185.202,1947,3,2,TOPOGRAFIA,28,0,,,,,
SIDUR-ED-16-113.112,1948,1,1,supervision,NULL,0,,,,,
SIDUR-ED-16-113.112,1949,2,1,control de calidad,NULL,0,,,,,
SIDUR-ED-16-113.112,1951,1,2,supervision,59,0,,,,,
SIDUR-ED-16-113.112,1952,2,2,control de calidad,18,0,,,,,
SIDUR-ED-16-113.112,1954,3,1,topografia,NULL,0,,,,,
SIDUR-ED-16-113.112,1955,3,2,topografia,23,0,,,,,
SIDUR-ED-16-153.215,1956,1,1,VERIFICACION ELECTRICA,NULL,0,,,,,
