num_contrato,NumeroAvance,FechaAvance,SituacionContrato,ComentarioAvance,ComentarioGral,FechaTerminacionEstimada,SituacionContratistaPersonal,SituacionContratistaMateriales,SituacionContratistaMaquinara,SituacionContratistaEqIntPermanente,SituacionContratistaCalidad,SituacionSCAMProyecto,SituacionSCAMEstimaciones,SituaiconSCAMPreciosUnitarios,SituacionSCAMConveniosTramites,SituacionSCAMOtros,FotoPrincipal,Id_import,AvFis,AvFin,AvProg,avance,,,
SIDUR-ED-15-040.9,1,20160109,1,LA OBRA SE ENCUENTRA AL 100%,"EL DIA 09 DE ENERO DE 2016,  SE CONCLUYERON LOS TRABAJOS DE LA OBRA DE RECARPETEO CON MICROCARPETA ASFALTICA DE 3 CMS DE ESPESOR EN VARIAS CALLES Y AVENIDAS, EN LA LOCALIDAD Y MUNICIPIO DE HUATABAMPO.",,1,1,1,1,1,3,1,1,1,0,NULL,37,100,NULL,NULL,0,,,
SIDUR-ED-15-043.10,1,20160126,1,ESTA OBRA SE CONCLUYO EL DIA 26 DE ENERO DE 2016,"RECARPETEO CON MICROCARPETA ASFALTICA DE 3 CMS DE ESPESOR  EN VARIAS CALLES Y AVENIDAS EN BACOBAMPO, MUNICIPIO DE ETCHOJOA, SONORA",,1,1,1,1,1,3,1,1,1,0,NULL,38,100,NULL,NULL,0,,,
SIDUR-PF-15-074.25,1,20160308,1,"La obra no presenta avance. No ha sido posible iniciar con la misma debido a que aún no se ha desalojado el inmueble donde se ejecutarán los trabajos, y además todavía no se ha pagado el anticipo de obra.",,,0,0,0,0,0,0,0,0,0,0,NULL,39,0,NULL,NULL,0,,,
SIDUR-PF-15-064.31,1,20160308,1,"SE CONTINUAN CON LOS  TRABAJOS DE ESCARIFICACION Y RECUPERACION DE BASE HASTA NIVEL DE PLANTILLA Y COMPACTANDO LA SUPERFICIE DESCUBIERTA, ADEMAS DE LA INCORPORACION DEL 4% DE CAL AL MATERIAL RECUPERADO, CONTINUAN LOS TRABAJOS DE BACHEO Y RENIVELACIONES AISLADAS.DENTRO DEL CADENAMIENTO 20 100 AL 21 089 SE PRESENTO UN BACHE PROFUNDO, DEBIDO A QUE EN LAS LATERALES DE LA VIALIDAD SE TIENE UN CANAL DE RIEGO Y UN DREN, SE REALIZARON SONDEOS EN EL KM ANTES MENCIONADO, ENCONTRANDO MATERIAL SATURADO DE HUMEDAD POR DEBAJO DE LA CAPA QUE SE BA ESTABILIZAR, POR LO QUE SE PROCEDERA A ESTABILIZAR EL BACHE CON MATERIAL DE PIEDRAPLEN EN CAPAS PROMEDIO DE 25 CM. EN LAS AREAS DONDE NO SE ENCUENTRA SATURADO EL MATERIAL DE DESPLANTE DE LA ESTRUCTURA DE PAVIMENTO SE INCOPORARÁ EL 2% CAL EN UNA CAPA DE 20CM COMO TRATAMIENTO A LA SUBRASANTE, ADEMAS EN PRUEBAS REALIZADAS POR AMBOS LABORATORIOS SE DETECTO QUE EL MATERIAL RECUPERADO (CARPETA Y BASE) AUN AGREGANDOLE EL 4% DE CAL SE PRESENTO DEFICIENTE PARA CUMPLIR CON LA CALIDAD DE MATERIAL DE BASE POR LO QUE EL LABORATORIO DA LA RECOMENDACION DE INCORPORARLE UN PORCENTAJE DE GRAVAS PARA CUMPLIR CON ESTA CALIDAD.","SE HAN ENCONTRADO DEFICIENCIAS DE PROYECTO. YA QUE LO MARCADO EN PROYECTO NO CORRESPONDE CON LAS DEMANDA DE OBRA, COMO LO ES BACHEOS PROFUNDOS NO CONSIDERADOS EN PROYECTO (1KM), SECCIONES DE VIALIDAD REDUCIDOS O COMIDOS POR EL TRAFICO QUE NO ESTAN CONSIDERADOS EN PROYECTO, NO SE CONSIDERO EL RESPALDO DE HOMBROS DE LA VIALIDAD YA QUE HAY PARTES QUE SE ENCUENTRAN A 90° FACILITANDO SU DESMORONAMIENTO Y LA MALA PLANEACION DE LOS TRAMOS A REPARAR YA QUE LA INDICADA EN PROYECTO ES MUY POCA CON LOS TRAMOS DAÑADOS.",,1,1,1,1,2,5,0,0,0,0,NULL,40,14.36,NULL,NULL,0,,,
SIDUR-PF-15-065.34,1,20160308,1,"SE INICIAN LOS TRABAJOS EN EL TRAMO COMPRENDIDO DEL. KM. 14 100 AL 15 400, PREVIA COLOCACION E INSTALACION DE SEÑALES Y DISPOSITIVOS DE SEGURIDAD NECESARIOS QUE GARANTIZEN LA SEGURIDAD DE LOS AUTOMOVILISTAS QUE TRANSITAN POR ESTA VIA. ASI COMO ACONDICIONANDOSE UNA VIA O CAMINO DE DESVIACION LA CUAL SERA MANTENIDA EN BUEN ESTADO DE OPERACION EN LO QUE DUREN LOS TRABAJOS.SE CONTINUA CON EL PROCESO DE ESTABILIZACION, MEZCLADO, TENDIDO Y COMPACTADO DE LA CAPA BASE ESTABILIZADA CON CAL Y SE CONTINUA AVANZANDO EN LA ESCARIFICACION Y COMPACTACION DE LA PLANTILLA HASTA EL KM. 14 450SE REALIZA RIEGO DE IMPREGNACION A BASE DE EMULSION ASFALTICA ECI-60 EN EL TRAMO COMPRENDIDO DEL KM. 15 400 AL KM. 14 900SE INICIAN LOS TRABAJOS DE MOVIMIENTO DE MATERIAL  DE BASE RECUPERADO Y ACAMELLONADO PARA LLEVAR A ACABO LOS TRABAJOS DE TRATAMIENTO DE 20 CMS DE LA SUBRASANTE. DEL TRAMO 14 880 AL 14 100, SE REALIZAN TRABAJOS DE COMPACTACION Y SE ADICIONA UN 2% DE CAL PARA MEJORAMIENTO DE LA MISMA, A LA VEZ SE TOMAN PRUEBAS DE LABAROATORIO PARA VERIFICACION DE COMPACTACIONES.","SE HAN ENCONTRADO DEFICIENCIAS DE PROYECTO. YA QUE LO MARCADO EN PROYECTO NO CORRESPONDE CON LAS DEMANDA DE OBRA, SECCIONES DE VIALIDAD REDUCIDOS O COMIDOS POR EL TRAFICO QUE NO ESTAN CONSIDERADOS EN PROYECTO, NO SE CONSIDERO EL RESPALDO DE HOMBROS DE LA VIALIDAD YA QUE HAY PARTES QUE SE ENCUENTRAN A 90° FACILITANDO SU DESMORONAMIENTO Y LA MALA PLANEACION DE LOS TRAMOS A REPARAR YA QUE LA INDICADA EN PROYECTO ES MUY POCA CON LOS TRAMOS DAÑADOS",,1,1,1,1,2,4,0,0,0,0,NULL,41,13.5,NULL,NULL,0,,,
SIDUR-PF-15-077.15,1,20160301,1,"el día 19 de febrero se suministra material para habilitado de acero en zapatas de cimentación , sehan realizado trabajos de retiro de material pero se paralizaron los trabajos","la obra inicia el 15 de febrero con desmonte de terreno se observa que los niveles de piso terminado están muY bajos y el área donde se construirá es salida de agua pluvial por lo que se adecuo niveles de proyecto para proteger a edificio de inundaciones la obra presenta avances lentos se dan inicio a trabajos con desmonte de terrenos, entramite convenios de reprogramación de obras correspondiente",,3,3,3,3,3,3,0,0,3,0,NULL,42,2.8,NULL,NULL,0,,,
SIDUR-PF-15-077.15,2,20160308,1,"se continua con habilitado de acero para columnas , se ejecutaron trabajos de retiro de material ha la fecha se tienen armadas 10 columnsa de 22 pzas, la totalidad de zapatas, se suministra material dde base para formación de plataforma, pendiente habilitado de trabes","la obra se observa mayor actividad, se toma la decisión de construir plataforma  hasta protección de banquetas, ",,2,2,3,3,3,2,0,0,3,0,NULL,43,11.3,NULL,NULL,0,,,
SIDUR-PF-15-084.12,3,20160308,1,SE CONTINUA CON HABILITADO DE ACERO PARACOLUMNAS Y SE REALIZA COMPACTADO DE PLATAFORMA CON TRABAJOS DE TENDIDO Y COMPACTACION DE BASE,"SE OBSERVA MAS ACTIVIDAO D EN OBRA, SE DECIDE COMFORMAS PLATAFORMA HASTA PROTECCION DE BANQUETAS FRONTALES DE FACHAS Y A UN METRO DEL PERIMETRO DE EDIFICIO, SE REALIZA LEVANTAMIENTO PARA PROPUESTA DE SALIDA DE AGUAS PLUVIALES ",,2,2,3,3,2,3,0,0,3,0,NULL,44,7.52,NULL,NULL,0,,,
SIDUR-PF-15-082.26,1,20160309,1,,,,1,1,2,2,2,3,1,1,3,1,NULL,45,17.8,NULL,NULL,0,,,
SIDUR-PF-15-072.27,1,20160309,1,,,,1,2,2,2,2,3,1,1,3,1,NULL,46,27.28,NULL,NULL,0,,,
SIDUR-PF-15-076.14,1,20160309,1,,,,1,1,1,1,1,3,2,1,3,0,NULL,47,7.3,NULL,NULL,0,,,
SIDUR-PF-15-083.28,1,20160309,1,,,,1,1,1,1,1,2,1,1,3,0,NULL,48,16.4,NULL,NULL,0,,,
SIDUR-PF-15-079.23,1,20160215,1,SE DA INICIO CON LOS TRABAJOS  DE TRAZO Y NIVELACION DEL TERRENO,CON ESTA FECHA SE DA INICIO CON LOS TRABAJOS DE LA OBRA EN MENSION.,,1,1,1,1,1,3,0,0,0,0,NULL,49,0,NULL,NULL,0,,,
SIDUR-PF-15-079.23,2,20160229,1,HASTA EL MOMENTO  SE LLEVA BUEN AVANCE DE LA OBRA,"SE CONTINUARON CON LOS TRABAJOS  DE CORTE EN CAJON,  COMPACTACION DE PLANTILLA, SUMINISTRO DE MATERIAL DE BANCO PARA  PLATAFORMA, ASI MISMO  DE INICIO CON LA EXCAVACÓN  EN ZANJA, HABILITADO DE ACERO PARA LAS ZAPATAS AISLADAS Y CORRIDAS, Y CONTRATRABES.",,1,1,1,1,1,3,0,1,1,0,NULL,50,11,NULL,NULL,0,,,
SIDUR-PF-15-079.23,3,20160310,1,HASTA EL DIA DE HOY EL CONTRATISTA A TRABAJADO BIEN,"SE CONTINUO CON EL HABILITADO DE COLUMNAS Y CASTILLOS, ASI MISMO EL SUMINISTRO Y COLOCACION DE CONCRETO PARA LAS COLUMNAS Y CASTILLOS, Y LA CONSTRUCCION DE MUROS  DE BLOCK, ARMADO ENTREPISO.",,1,1,1,1,1,3,0,1,1,0,NULL,51,21.3,NULL,NULL,0,,,
SIDUR-PF-15-071.18,1,20160215,1,EL CONTRATISTA DA INICIO A LOS TRABAJOS DE LA OBRA,SE DA INICIO A LOS TRABAJOS DE LA OBRA,,1,1,1,1,0,4,0,0,0,0,NULL,52,0,NULL,NULL,0,,,
SIDUR-PF-15-100.21,1,20160310,1,,LA CONTRATISTA NO HA INICIADO LOS TRABAJOS  HASTA CUANDO SALGA EL ANTICIPO CORRESPONDIENTE ,,0,0,0,0,0,0,0,0,0,0,NULL,53,0,NULL,NULL,0,,,
SIDUR-PF-15-071.18,2,20160229,1,"LA CONTRATISTA INICIO LOS TRABAJOS EL DIA 15 DE FEBRERO DE 2016, DONDE SE TRABAJO EN DEMOLICIONES, DESINSTALACION DE TEJABAN, DESPALME DEL TERRENO NATURAL, DEMOLICION DE LOSAS  DE PISO, CORTE EN CAJON, COMPACTACION DE PLANTILLA, SUMINISTRO DE MATERIAL DE BANCOP PARA TERRAPLEN, CORTE EN ZANJA, PLANTILLA DE CONCRETO, HABILITADO DE ACERO  CONSTRUCCION DE ZAPATAS CORRIDAS Y AISALADAS Y SUMINISTRO Y COLOCACION DE CONTRATRABES, ASI MISMO    SE SOLICITARON LOS PRECIOS FUERA DE PRECIOS",EL CONTRATISTA LLEVA  BUEN AVANCE HASTA LA FECHA DE HOY,,1,1,1,1,1,3,0,1,1,0,NULL,55,6.49,NULL,NULL,0,,,
SIDUR-PF-15-076.14,2,20160313,1,,"EL AVANCE PRESENTADO, CORRESPONDE AL DE LA SEMANA DEL 29 DE FEBRERO AL 04 DE MARZO DEL 2016, YA QUE LA SEMANA PASADA NO SE REALIZO VISITA DE CAMPO, PARA VERIFICAR AVANCES",,0,0,0,0,0,0,0,0,0,0,NULL,56,7.3,NULL,NULL,0,,,
SIDUR-PF-15-083.28,2,20160313,1,,"EL AVANCE PRESENTADO, CORRESPONDE A LA SEMANA DEL 29 DE FEBRERO AL 04 DE MARZO EL 2016, YA QUE NO SE REALIZO VISITA DE CAMPO, PARA VERIFICAR AVANCES",,0,0,0,0,0,0,0,0,0,0,NULL,57,16.4,NULL,NULL,0,,,
SIDUR-PF-15-092.38,3,20160314,1,,,,3,3,2,1,1,2,1,0,0,0,NULL,58,21.5,NULL,NULL,0,,,
SIDUR-PF-15-082.26,2,20160314,1,,,,1,1,1,1,2,3,1,1,3,2,NULL,59,22.06,NULL,NULL,0,,,
SIDUR-PF-15-072.27,2,20160314,1,,,,1,1,1,1,2,3,1,1,3,1,NULL,60,46.28,NULL,NULL,0,,,
SIDUR-PF-15-089.44,1,20160314,1,,OBRA INICIADA SIN ANTICIPO,,2,1,1,0,1,3,0,0,0,0,NULL,61,20.05,NULL,NULL,0,,,
SIDUR-PF-15-073.19,2,20160314,1,,,,1,1,1,1,1,4,0,0,0,0,NULL,62,36.83,NULL,NULL,0,,,
SIDUR-PF-15-080.22,2,20160314,1,"LA OBRA AVANZA A BUEN RITMO, CON PERSIONAL  Y EQUIPO  ADECUADO, OBRA INICIADA SIN ANTICIPO",,,1,1,1,1,2,4,0,0,0,0,NULL,63,25.55,NULL,NULL,0,,,
SIDUR-PF-15-064.31,2,20160315,1,"1.-EL DIA 8 DE MARZO DE 2016 SE PRESENTAN LLUVIAS DURANTE EL TRANSCURSO DE LA NOCHE ANTERIOR Y DURANTE TODO EL DÍA  POR LO QUE SE SUSPENDEN ACTIVIDADES. 2.-SE REALIZARON TRABAJOS DE CORTE EN CAJÓN PARA LA FABRICACIÓN DE PEDRAPLEN PARA ESTABILIZACIÓN DE ESTE TRAMO KM.19 995 AL 20 280 Y SE EMPIEZA A RECIBIR GRAVON.3.- NOTA: EN EL CADENAMIENTO 20 100 AL 21 100 SE ENCONTRO MATERIAL SATURADO DEBAJO DE LA ESTRUCTURA QUE SE ESTABILIZA SEGUN PROYECTO, UNA VEZ REALIZADO LOS SONDEOS CORRESPONDIENTES Y SE TOMO LA DESICION DE INCORPORALE UNA CAPA DE GRAVON PARA ESTABILIZAR EL BACHE, ADEMAS DE MATERIAL DE BANCO PARA CUBRIR LA CAPA DE GRAVON, TAMBIEN SE REALIZARON PRUEBAS A LA CAPA RECUPERADA DE 25CM. DETECTANDO FANTANTES DE GRAVAS A LO QUE SE PROCEDIO SEGUN DICTAMEN DE LA SUPERVSION EXTERNA DEL INCORPORARLE UN 15%.",,,1,1,1,1,2,4,0,0,0,0,NULL,64,19.44,NULL,NULL,0,,,
SIDUR-PF-15-079.23,4,20160315,1,"SE LLEVO A CABO EL SUMINISTRO Y APLICACION DE CONCRETO EN MUROS DE CONTENCION EN CISTERNA, SE CONSTRUYO EL PRETIL CON REMATE EN BLOCK DALA, ADEMAS SE INCIARON ACTIVIDADES PARA INSTALACIONES ELECTRICAS Y ACABADOS EN MUROS EXTERIORES EN EL EDIFICIO.",SE CONTINUA CON LOS TRABAJOS DE SUMINISTRO Y COLOCACION DE CONCRETO HIDRAULICO CON UN ESPESOR DE 5 CMS (30 CM INCLUYE CASETON),,1,1,1,1,1,3,0,3,1,0,NULL,65,32.55,NULL,NULL,0,,,
SIDUR-ED-15-041.11,4,20160315,1,,,,1,2,3,3,1,1,0,0,0,0,NULL,66,27,NULL,NULL,0,,,
SIDUR-PF-15-065.34,2,20160315,1,"1.-CONTINÚAN LOS TRABAJOS EN EL TRAMO DEL KM. 14 400 AL 14 650 DE INCORPORACIÓN DE CALHIDRA ( OXIDO DE CALCIO) Y GRAVA DE 3/4"" AL MATERIAL DE BASE RECUPERADO ESTO CON EL FIN DE HOMOGENEIZARLA Y MEJORARLA,  Y  TENDIDO EL MATERIAL DE BASE.EL DÍA 8 DE MARZO SE PRESENTAN LLUVIAS DURANTE LA NOCHE Y DURANTE TODO EL DÍA POR LO QUE SE SUSPENDIERON ACTIVIDADES. SOLO SE REALIZAN TRABAJOS DE REHABILITACIÓN DE VÍAS ALTERNAS.",,,1,1,1,1,2,4,0,0,0,0,NULL,67,15.6,NULL,NULL,0,,,
SIDUR-PF-15-071.18,3,20160315,1,"SE CONTINUA CON LA INSTALACIÓN DE TUBERÍA PARA CABLEADO ELÉCTRICO, SUMINISTRO Y COLOCACIÓN DE MUROS DIVISORIOS DE TABLA ROCA,  SUMINISTRO E INSTALACIÓN DE PUERTAS DE SEGURIDAD, SUMINISTRO Y COLOCACIÓN DE TRABAJOS DE CARPINTERÍA Y ASÍ MISMO VITROPISO DONDE SON PRECIOS FUERA DE PRESUPUESTO. SE REALIZO EXCAVACIÓN PARA CISTERNA, ASÍ COMO SU ARMADO DE ACERO Y CIMBRA PARA SU CORRECTA EJECUCIÓN.",EL CONTRATISTA CONTINUA CON LOS TRABAJOS DE SUMINISTRO Y COLOCACIÓN DE PISO FIRME Y VITROPISO.,,1,1,1,1,1,3,0,3,1,0,NULL,68,53.74,NULL,NULL,0,,,
SIDUR-PF-15-070.29,3,20160315,1,,,,2,2,2,2,2,2,2,2,2,2,NULL,69,51.2,NULL,NULL,0,,,
SIDUR-PF-15-081.32,3,20160315,1,,,,2,2,2,2,2,2,2,2,2,2,NULL,70,20.5,NULL,NULL,0,,,
SIDUR-PF-15-094.43,1,20160315,1,,LA OBRA EN CUESTIÓN NO HA INICIADO, EL CONTRATISTA MANIFIESTA QUE NO SE LE HA ENTREGADO EL ANTICIPO.,,0,0,0,0,0,0,0,0,0,0,NULL,71,0,NULL,NULL,0,,
SIDUR-PF-15-084.12,4,20160316,1,"SE TRABAJAN CON COMFORMACION DE PLATAFORMAS VOLVIENDOSE A TRATAR LOS TRABAJOS EN UNA SEGUNDA CAPA POR EXCESO DE HUMEDAD, SE CONTINUA CON TRABAJOS DE HABILITADO DE ACERO EN COLUMNAS Y CONTRATRABES FALTANDO EL HABILITADO DE DOS COLUMNAS, SE REALIZAN TRABAJOS DE HABILITADO DE CIMBRAS PARA COLUMNAS ZAPATAS Y DADOS",OBRA CON AVANCE LENTO SE REALIZARON TRABAJOS DE TRATAMIENTO DE PLATAFORMA DE NUEVO PARA CUMPLIR CON COMPACTACIONES REQUERIDAS,,3,2,1,3,1,2,0,0,3,0,NULL,72,8.8,NULL,NULL,0,,,
SIDUR-PF-15-077.15,3,20160316,1,"SE REALIZAN TRABAJOS DE CONFORMACION DE PLATAFORMAS , TRABAJOS DE EXCAVACION PARA ZAPATAS , COLOCACION DE PLANTILLA DE ZAPATAS, SE HABILITA CIMBRA PARA ZAPATAS , COLUMNAS Y DADOS","EN TRAMITE CONVENIO DE REPROGRACION LOS AVANCES ESTAN REFERENCIADOS A PORCENTAJES DE OBRA DE CATALOGO;  OBRA PRESENTA AVANCE SE OBSERVA PERSONAL DE TRABAJO 15 PERSONAS , SE INDICA A CONTRATISTA QUE MATERIAL DE EXCAVACION SE DEJE EN OBRA PARA USO EN RELLENOS DE AREAS",,3,2,1,1,0,1,0,0,0,0,NULL,73,14.1,NULL,NULL,0,,,
SIDUR-PF-15-087.42,1,20160316,1,,LA CONTRATISTA VA INICIAR LOS TRABAJOS HASTA CUANDO RECIBA EL ANTICIPO DE LA OBRA,,0,0,0,0,0,0,0,0,0,0,NULL,74,0,NULL,NULL,0,,,
SIDUR-PF-15-063.35,1,20160316,3,"SE REALIZAN TRABAJOS DE ESCARIFICADO, MEZCLADO EL 4% DE CAL, TENDIDO DE LA CAPA BASE EN LOS CADENAMIENTOS 5 900 AL 7 295, 7 860 AL 8 300, Y DEL 9 920 AL 10 121, EN ESTOS FRENTES SE DETECTO YA MEZCLADO EL MATERIAL DE CAL CON EL RECUPERADO DEFICIENCIAS PARA CUMPLIR COMO CALIDAD DE BASE, PREVIO SE REALIZARON MUESTREOS EN LOS CADENAMIENTOS SEÑALADOS, DICTAMINANDO POR ARTE DE SUPERVISION EXTERNA SIDUR EL INCORPORAMIENTO DE MATERIAL DE GRAVAS ENTRE 15% Y 25% SEGÚN ARROJE LAS MUESTRAS TOMADAS EN LOS DISTINTO TRAMOS, ADEMAS SE DICTAMINO QUE LA CAPA DE SUBRASANTE PRESENTA PLASTICIDAD POR LO QUE RECOMIENDA EL LABORATORIO INCREMENTARLE EL 2% DE CAL SEGÚN DICTAMEN Y TRATAR EN UNA CAPA DE 20 CM ESTA CAPA.","SE ENCONTRARON DEFICIENCIAS EN LA CALIDAD DE BASE YA QUE LOS ESPESORES NO COINCIDÍAN CON LOS DE PROYECTO, LA SECCIÓN A RECUPERAR NO COINCIDE DEBIDO A QUE LA VIALIDAD PRESENTA FALTANTE DE ESTRUCTURA DE PAVIMENTO YA QUE HAY ANCHOS DE VIALIDAD DE 5.80 Y EN PROYECTO MARCA 7 MTS, NO CONTEMPLA EL RESPALDO DE DICHA ESTRCTURA (HOMBRO) ADEMAS DE LOS VOLUMENES MAL CALCULADOS EN EL CATALAGO DE CONCEPTOS (LIGA, ADITIVO SELLADOR) EN EL TRAMO 25 000 AL 25 500 (COLONIA UNION) LO MARCADO EN PROYECTO DIFIERE DE LA REALIDAD YA QUE EN ESTE SECTOR SE REQUIERE OTRO TIPO DE REHABILITADO DE LA ESTRUCTURA DEL PAVIMENTO YA QUE PRESENTA ONDULACIONES EN TODO EL TRAMO.",,1,1,2,2,1,4,0,0,0,0,NULL,75,7.95,NULL,NULL,0,,,
SIDUR-PF-15-075.13,1,20160316,1,LA OBRA PRESENTA MEJOR AVANCE EN ESTA PERIODO YA QUE AUMENTO LA CANTIDAD DE PERSONAL.,LA OBRA PRESENTA AVANCE EN LOS CONCEPTOS DE ARMADO Y COLADO DE ZAPATAS PARA CIMENTACION EN CALIDAD ACEPTABLE,,1,1,1,1,1,3,1,1,3,3,NULL,76,4.2,NULL,NULL,0,,,
SIDUR-PF-15-085.16,1,20160316,1,LA OBRA NO HA INICIADO,,,0,0,0,0,0,0,0,0,0,0,NULL,77,0,NULL,NULL,0,,,
